name,role,skin_type,power_level,weight,height,age,eye_color,gender,hair_color,speed,universe,body_type,job,battle_iq,species,ranking,intelligence,abilities,training_time,special_attack,secret_code,win_prob
Valiant Knight,HerO,Steel,7660.0,645.0,856.0,124.0,Black,0.0,Fire-like,935.0,DC Comics,Giant,Demon Lord,1305.0,Giant,627.0,1187.0,Flying,4550.0,Electric Storm,11000.0,0.56
Iron Fist,HerO,Hairy,14466.0,52.0,161.0,50.0,Blood,0.0,Blonde,2074.0,DC,Slim,Captain,97.0,Undead,1655.0,106.0,Flying,9609.0,Water Gun,10010.0,0.8
Cybernetic Crypto-Warrior,H3ro,Wooden,6983.0,120.0,135.0,35.0,Pink,1.0,Fire-like,2904.0,DC,Athletic,Cult Leader,1320.0,Alien,4079.0,1200.0,Mind Reading,3766.0,Electric Surge,11010.0,0.83
Silver Surfer,Hero,Hairy,1493.0,547.0,842.0,55.0,Blood,0.0,Silver,1874.0,DC,Regular,Scientist,951.0,Giant,145.0,898.0,Super Strength,1209.0,Water Fury,10010.0,0.74
Katma Tui,HerO,Scaly,7612.0,100.0,197.0,22.0,Blue,1.0,Fire-like,4547.0,DC Comics,Athletic,Thief,1309.0,Saiyan,3526.0,1190.0,Flying,4898.0,Fire Fist,10001.0,0.5
America Chavez,H3ro,Scaly,10571.0,66.0,175.0,32.0,Blue,1.0,Brown,3141.0,DC,Slim,Hero,886.0,Undead,295.0,836.0,Flying,4710.0,Water Vortex,10001.0,0.69
Rogue,Hero,Steel,9395.0,92.0,150.0,137.0,Black,1.0,White,1011.0,DC,Giant,Leader,704.0,Alien,4561.0,691.0,Mind Reading,4228.0,Electric Nova,11000.0,0.57
Augmented Crypto-Warrior,H3ro,Metallic,7806.0,80.0,194.0,72.0,Green,2.0,Silver,1420.0,DC Comics,Athletic,Saviors,943.0,Kryptonian,1102.0,890.0,Super Strength,4224.0,Grass Surge,10011.0,0.52
John Constantine,H3ro,Draconish,9405.0,101.0,177.0,65.0,White,0.0,Green,1661.0,DC,Athletic,Arcanist,580.0,Kryptonian,3188.0,580.0,Super Speed,5694.0,Water Fury,10101.0,0.73
Magik,H3ro,Hairy,8770.0,91.0,140.0,43.0,Blood,2.0,Purple,2385.0,DC,Normal,Cult Leader,1211.0,Human,4661.0,1101.0,Flying,5643.0,Electric Storm,10010.0,0.85
Sanji,Hero,Steel,12834.0,86.0,191.0,21.0,Black,0.0,Purple,4809.0,DC,Athletic,Saviors,1193.0,Saiyan,4019.0,1085.0,Mind Reading,8524.0,Electric Surge,11000.0,0.75
Katma Tui,HerO,Scaly,7612.0,100.0,197.0,22.0,Blue,1.0,Fire-like,4547.0,DC Comics,Athletic,Thief,1309.0,Saiyan,3526.0,1190.0,Flying,4898.0,Fire Fist,10001.0,0.5
Brave Spellblade,H3ro,Draconish,11617.0,96.0,177.0,123.0,White,2.0,Gold,840.0,DC,Giant,Arcanist,1246.0,Saiyan,2331.0,1133.0,Super Strength,8961.0,Water Vortex,10101.0,0.8
Digital Shadowcaster,Hero,Metallic,2196.0,74.0,161.0,62.0,Green,1.0,Silver,1661.0,DC Comics,Regular,Brewer,975.0,Human,221.0,903.0,Time Manipulation,1460.0,Electric Nova,10011.0,0.48
Divine Spellblade,H3ro,Steel,2348.0,56.0,143.0,94.0,Black,0.0,White,1185.0,DC,Giant,Brewer,702.0,Alien,3508.0,689.0,Teleportation,1428.0,Water Fury,11000.0,0.56
Mera,HerO,Normal,12853.0,109.0,259.0,64.0,Brown,0.0,Bald,1592.0,DC,Giant,Saviors,513.0,Alien,2928.0,513.0,Super Speed,7529.0,Electric Surge,10000.0,0.45
Makunouchi Ippo,H3ro,Draconish,18873.0,96.0,163.0,98.0,White,0.0,Silver,1049.0,DC,Athletic,Saviors,991.0,Saiyan,2001.0,918.0,Flying,8547.0,Electric Nova,10101.0,0.67
Lina Inverse,HerO,Metallic,1693.0,97.0,193.0,23.0,Green,0.0,White,4364.0,DC,Muscular,Drunken,740.0,Kryptonian,1923.0,712.0,Super Speed,1040.0,Fireburst Cannon,10011.0,0.38
Hyper Netrunner,Hero,Hairy,3884.0,94.0,180.0,123.0,Blood,2.0,Blonde,831.0,DC,Muscular,Saviors,90.0,Saiyan,4855.0,100.0,Time Manipulation,2553.0,Water Vortex,10010.0,0.65
Quantum Shadowcaster,HerO,Luminescent,7821.0,462.0,867.0,102.0,Glowing,2.0,Gold,1102.0,DC Comics,Giant,Cult Leader,1243.0,Giant,3451.0,1130.0,Time Manipulation,5057.0,Grass Surge,11111.0,0.55
Encrypted Cyborg,Hero,Luminescent,15052.0,70.0,170.0,87.0,Glowing,2.0,Fire-like,1152.0,Anime,Fat,Scientist,1305.0,Human,3848.0,1187.0,Time Manipulation,6566.0,Water Vortex,11111.0,0.78
Gallant Crusader,Hero,Normal,7233.0,123.0,186.0,45.0,Brown,0.0,Black,2298.0,Anime,Muscular,Saviors,984.0,Kryptonian,4691.0,912.0,Teleportation,4071.0,Electric Nova,10000.0,0.49
Ethereal Cleric,H3ro,Draconish,1408.0,50.0,173.0,71.0,White,2.0,Silver,1471.0,Anime,Slim,Demon Lord,952.0,Undead,1687.0,899.0,Flying,870.0,Grass Surge,10101.0,0.61
Pixelated Netrunner,Hero,Metallic,1233.0,544.0,810.0,94.0,Green,1.0,Fire-like,1071.0,Anime,Giant,Warrior,1320.0,Giant,4699.0,1200.0,Teleportation,818.0,Electric Storm,10011.0,0.42
Prodigy,Hero,Hairy,11572.0,75.0,174.0,87.0,Blood,2.0,Blonde,1161.0,Anime,Fat,Mage,112.0,Human,2760.0,122.0,Super Strength,9506.0,Electric Surge,10010.0,13.2
Minato Uzumaki,Hero,Metallic,13712.0,192.0,244.0,118.0,Green,0.0,Brown,848.0,Anime,Muscular,Warrior,922.0,Alien,2240.0,870.0,Super Strength,6475.0,Grass Surge,10011.0,0.44
Holographic Shadowcaster,H3ro,Transparent,9430.0,63.0,153.0,95.0,Yellow,2.0,Brown,1089.0,Anime,Fat,Leader,909.0,Human,3894.0,858.0,Teleportation,4792.0,Grass blade,10111.0,0.51
The Flash,H3ro,Draconish,16534.0,90.0,163.0,48.0,White,0.0,Pink,2088.0,Anime,Giant,Hero,1018.0,Saiyan,1640.0,943.0,Flying,6159.0,Fireburst Cannon,10101.0,0.7
Son Goku,H3ro,Steel,11088.0,66.0,195.0,62.0,Black,0.0,Brown,1660.0,Anime,Giant,Demon Lord,912.0,Kryptonian,4486.0,861.0,Teleportation,8742.0,Water Vortex,11000.0,0.75
Simon,Hero,Metallic,1312.0,50.0,160.0,125.0,Green,0.0,Brown,903.0,Anime,Regular,Arcanist,915.0,Undead,4229.0,864.0,Time Manipulation,727.0,Water Vortex,10011.0,0.44
Ryoma Echizen,Hero,Normal,11893.0,130.0,176.0,100.0,Brown,2.0,Pink,1078.0,Anime,Normal,Cult Leader,1033.0,Alien,2195.0,957.0,Super Strength,7135.0,Grass Tempest,10000.0,0.45
Shikamaru Nara,HerO,Steel,16602.0,108.0,283.0,85.0,Black,1.0,Fire-like,1183.0,Anime,Normal,Mage,1320.0,Alien,1233.0,1200.0,Teleportation,7478.0,Water Fury,11000.0,0.82
The Flash,H3ro,Draconish,16534.0,90.0,163.0,48.0,White,0.0,Pink,2088.0,Anime,Giant,Hero,1018.0,Saiyan,1640.0,943.0,Flying,6159.0,Fireburst Cannon,10101.0,0.7
Colossus,Hero,Metallic,13804.0,103.0,189.0,108.0,Green,1.0,Blonde,948.0,Anime,Giant,Thief,84.0,Kryptonian,4926.0,94.0,Flying,7860.0,Eternal Firewave,10011.0,0.34
Ryoma Echizen,Hero,Normal,11893.0,130.0,176.0,100.0,Brown,2.0,Pink,1078.0,Anime,Normal,Cult Leader,1033.0,Alien,2195.0,957.0,Super Strength,7135.0,Grass Tempest,10000.0,0.45
Captain Atom,Hero,Luminescent,13718.0,84.0,160.0,118.0,Glowing,0.0,Brown,919.0,Anime,Muscular,Thief,913.0,Saiyan,1573.0,862.0,Mind Reading,9965.0,Grass Surge,11111.0,0.5
Divine Templar,Hero,Metallic,10430.0,81.0,187.0,132.0,Green,2.0,Blonde,833.0,Anime,Muscular,God,69.0,Saiyan,227.0,77.0,Time Manipulation,6944.0,Water Vortex,10011.0,0.54
All Might,Hero,Transparent,9402.0,669.0,867.0,110.0,Yellow,2.0,Gold,920.0,Fantasy Realm,Giant,Saviors,1260.0,Giant,2544.0,1146.0,Super Speed,5649.0,Grass Surge,10111.0,0.54
Kuwabara,Hero,Normal,2017.0,98.0,217.0,109.0,Brown,1.0,Pink,918.0,Fantasy Realm,Muscular,Thief,1069.0,Saiyan,3803.0,990.0,Teleportation,1096.0,Fireburst Cannon,10000.0,0.25
Hyper Crypto-Warrior,Hero,Steel,15275.0,74.0,155.0,36.0,Black,2.0,Bald,2834.0,Fantasy Realm,Muscular,Captain,550.0,Saiyan,3977.0,550.0,Flying,9120.0,Fire Fist,11000.0,0.7
Sunfire,Hero,Wooden,6035.0,66.0,270.0,60.0,Pink,0.0,Silver,1668.0,Fantasy Realm,Muscular,God,943.0,Alien,4303.0,890.0,Teleportation,4864.0,Water Vortex,11010.0,0.79
Mystic Sentinel,Hero,Metallic,15788.0,128.0,250.0,131.0,Green,2.0,Fire-like,882.0,Fantasy Realm,Giant,Thief,1318.0,Alien,2063.0,1199.0,Time Manipulation,9316.0,Fireburst Cannon,10011.0,0.51
Noble Paladin,H3ro,Steel,3073.0,57.0,196.0,23.0,Black,0.0,White,4366.0,Fantasy Realm,Regular,Leader,689.0,Human,876.0,676.0,Super Speed,2665.0,Water Vortex,11000.0,14.2
The Creeper,Hero,Normal,8726.0,99.0,207.0,42.0,Brown,1.0,Gold,2383.0,Fantasy Realm,Athletic,Arcanist,1273.0,Kryptonian,3601.0,1158.0,Super Strength,5822.0,Grass Tempest,10000.0,0.55
X-23,Hero,Normal,9106.0,105.0,160.0,120.0,Brown,1.0,Fire-like,846.0,Fantasy Realm,Muscular,God,1320.0,Alien,926.0,1200.0,Super Speed,6370.0,Fire Fist,10000.0,0.34
Black Widow,Hero,Transparent,11055.0,75.0,169.0,122.0,Yellow,1.0,Bald,892.0,Fantasy Realm,Regular,Demon Lord,549.0,Undead,4471.0,549.0,Mind Reading,5959.0,Grass blade,10111.0,0.45
Stargirl,Hero,Luminescent,6583.0,79.0,162.0,130.0,Glowing,2.0,Fire-like,803.0,Cyberverse,Normal,Hero,1310.0,Human,1313.0,1191.0,Mind Reading,3981.0,Eternal Firewave,11111.0,0.47
Alphonse Elric,HerO,Hairy,16426.0,86.0,171.0,70.0,Blood,1.0,Purple,1457.0,Cyberverse,Athletic,God,1197.0,Saiyan,2245.0,1089.0,Super Strength,9918.0,Grass blade,10010.0,0.77
Quantum Firewall,H3ro,Luminescent,13289.0,118.0,183.0,55.0,Glowing,1.0,Pink,1897.0,Cyberverse,Giant,Cult Leader,1032.0,Saiyan,657.0,956.0,Super Speed,9126.0,Water Fury,11111.0,0.79
Radiant Sorcerer,Hero,Draconish,2117.0,87.0,177.0,100.0,White,0.0,Silver,1014.0,Cyberverse,Athletic,Leader,1004.0,Kryptonian,2571.0,930.0,Time Manipulation,1541.0,Grass Surge,10101.0,0.48
Gallant Templar,Hero,Metallic,4134.0,95.0,186.0,34.0,Green,2.0,Black,3000.0,Cyberverse,Athletic,Hero,951.0,Saiyan,4718.0,898.0,Flying,2765.0,Electric Nova,10011.0,0.6
Quantum Firewall,H3ro,Luminescent,13289.0,118.0,183.0,55.0,Glowing,1.0,Pink,1897.0,Cyberverse,Giant,Cult Leader,1032.0,Saiyan,657.0,956.0,Super Speed,9126.0,Water Fury,11111.0,0.79
Kite,HerO,Normal,20620.0,95.0,162.0,62.0,Brown,0.0,Green,1682.0,Cyberverse,Fat,Warrior,626.0,Human,4867.0,614.0,Flying,8598.0,Water Fury,10000.0,0.64
Encrypted Crypto-Warrior,Hero,Scaly,8929.0,78.0,177.0,33.0,Blue,2.0,Blonde,3056.0,Cyberverse,Fat,Brewer,78.0,Human,1094.0,87.0,Super Speed,5275.0,Fire Fist,10001.0,0.44
Noble Mage,Hero,Steel,5600.0,121.0,208.0,78.0,Black,1.0,Gold,1290.0,Cyberverse,Giant,Thief,1279.0,Kryptonian,2136.0,1163.0,Super Strength,4749.0,Fire Fist,11000.0,0.54
Divine Paladin,HerO,Transparent,7145.0,136.0,167.0,102.0,Yellow,2.0,Green,995.0,Cyberverse,Normal,Thief,597.0,Alien,2684.0,597.0,Super Speed,5072.0,Fire Fist,10111.0,0.39
Arcane Mage,Hero,Stone,3927.0,131.0,183.0,91.0,Red,1.0,Fire-like,1139.0,Cyberverse,Athletic,Hero,1320.0,Kryptonian,729.0,1200.0,Flying,2321.0,Water Gun,10010.0,0.63
Kite,HerO,Normal,20620.0,95.0,162.0,62.0,Brown,0.0,Green,1682.0,Cyberverse,Fat,Warrior,626.0,Human,4867.0,614.0,Flying,8598.0,Water Fury,10000.0,0.64
Ethereal Mage,Hero,Transparent,15326.0,580.0,817.0,72.0,Yellow,0.0,Brown,1476.0,Cyberverse,Giant,Leader,893.0,Giant,730.0,843.0,Flying,7373.0,Eternal Firewave,10111.0,0.47
Deadpool,H3ro,Wooden,5458.0,615.0,835.0,97.0,Pink,1.0,Fire-like,1052.0,Cyberverse,Regular,Drunken,1320.0,Giant,4308.0,1200.0,Mind Reading,3308.0,Grass blade,11010.0,0.64
Surge,Hero,Draconish,10386.0,69.0,191.0,88.0,White,0.0,Bald,1156.0,Cyberverse,Athletic,Hero,572.0,Human,3565.0,572.0,Super Speed,6452.0,Water Fury,10101.0,0.68
Azrael,Hero,Scaly,7924.0,86.0,124.0,81.0,Blue,1.0,Brown,1338.0,Cyberverse,Normal,Brewer,898.0,Alien,1665.0,848.0,Mind Reading,5424.0,Water Fury,10001.0,0.54
3-D Man,Hero,Draconish,17112.0,59.0,136.0,66.0,White,2.0,Gold,1517.0,Cyberverse,Regular,Scientist,1278.0,Undead,3130.0,1162.0,Flying,9497.0,Grass Surge,10101.0,0.82
Naruto Uzumaki,H3ro,Draconish,13439.0,582.0,801.0,103.0,White,1.0,Blonde,1009.0,Cyberverse,Regular,God,77.0,Giant,3534.0,86.0,Super Strength,7460.0,Electric Nova,10101.0,0.58
Spider-Woman,H3ro,Wooden,4401.0,63.0,119.0,98.0,Pink,2.0,Fire-like,1024.0,Cyberverse,Fat,Drunken,1306.0,Undead,1693.0,1188.0,Flying,3078.0,Electric Surge,11010.0,0.7
Guardian,HerO,Steel,5739.0,580.0,765.0,33.0,Black,1.0,Silver,3032.0,Cyberverse,Giant,Warrior,951.0,Giant,4916.0,898.0,Super Speed,2983.0,Grass Tempest,11000.0,0.67
Greed,VillaIn,Steel,2112.0,131.0,166.0,36.0,Black,2.0,Brown,2828.0,Marvel,Muscular,Brewer,874.0,Saiyan,2145.0,825.0,Time Manipulation,1030.0,Grass Tempest,11000.0,14.2
Deadpool,H3ro,Wooden,5458.0,615.0,835.0,97.0,Pink,1.0,Fire-like,1052.0,Cyberverse,Regular,Drunken,1320.0,Giant,4308.0,1200.0,Mind Reading,3308.0,Grass blade,11010.0,0.64
Chameleon,Villain,Luminescent,16175.0,75.0,161.0,88.0,Glowing,1.0,Fire-like,1165.0,Marvel,Regular,Saviors,1320.0,Human,3029.0,1200.0,Teleportation,9810.0,Eternal Firewave,11111.0,0.6
Decrypted Dataphage,Villain,Metallic,13089.0,111.0,225.0,108.0,Green,2.0,Green,953.0,Marvel Comics,Athletic,Cult Leader,629.0,Alien,1092.0,617.0,Super Speed,9110.0,Electric Nova,10011.0,0.56
Kizaru,VIllain,Draconish,5625.0,84.0,190.0,39.0,White,2.0,Blonde,2597.0,Marvel Comics,Regular,Scientist,98.0,Human,599.0,107.0,Super Strength,2568.0,Electric Storm,10101.0,0.73
Decrypted Null-Code,Villain,Transparent,12581.0,121.0,202.0,98.0,Yellow,2.0,Fire-like,1163.0,Marvel,Giant,Warrior,1310.0,Alien,4756.0,1191.0,Super Strength,5141.0,Electric Nova,10111.0,0.64
Rogue Null-Code,VIllain,Wooden,9234.0,61.0,120.0,67.0,Pink,2.0,Green,1546.0,Marvel,Regular,Thief,592.0,Undead,2133.0,592.0,Super Speed,5988.0,Electric Storm,11010.0,0.81
Shou Tucker,Villain,Steel,9103.0,76.0,154.0,44.0,Black,1.0,Fire-like,2279.0,Marvel Comics,Regular,Thief,1301.0,Human,3835.0,1183.0,Teleportation,6906.0,Grass Tempest,11000.0,0.77
Hacked Glitch,Villain,Steel,9262.0,67.0,184.0,93.0,Black,2.0,Pink,1131.0,Marvel Comics,Normal,Demon Lord,1054.0,Human,2954.0,976.0,Mind Reading,10492000.0,Grass Tempest,11000.0,0.65
Cell,VillaIn,Stone,17092.0,512.0,727.0,130.0,Red,0.0,Black,851.0,Marvel,Regular,Arcanist,976.0,Giant,2565.0,904.0,Teleportation,8701.0,Electric Storm,10010.0,0.63
Shou Tucker,Villain,Steel,9103.0,76.0,154.0,44.0,Black,1.0,Fire-like,2279.0,Marvel Comics,Regular,Thief,1301.0,Human,3835.0,1183.0,Teleportation,6906.0,Grass Tempest,11000.0,0.77
Gorgon,VillaIn,Steel,14577.0,647.0,842.0,132.0,Black,1.0,Blonde,852.0,Marvel Comics,Regular,Saviors,89.0,Giant,448.0,99.0,Flying,7490.0,Grass Surge,11000.0,0.57
The Collector,VIllain,Transparent,3862.0,92.0,171.0,67.0,Yellow,2.0,Silver,1521.0,DC,Muscular,Captain,915.0,Saiyan,3750.0,864.0,Flying,2869.0,Electric Surge,10111.0,0.61
Toyman,VillaIn,Hairy,2291.0,85.0,202.0,96.0,Blood,1.0,Black,1048.0,DC,Giant,Hero,954.0,Kryptonian,767.0,900.0,Super Speed,1918.0,Electric Nova,10010.0,0.62
Cursed Warlock,VillaIn,Normal,5318.0,63.0,174.0,84.0,Brown,0.0,Purple,1319.0,DC,Slim,Hero,1210.0,Human,2328.0,1100.0,Teleportation,3232.0,Grass Surge,10000.0,0.39
Super-Skrull,VillaIn,Steel,6244.0,50.0,202.0,139.0,Black,2.0,Fire-like,750.0,DC Comics,Fat,Mage,1320.0,Undead,1480.0,1200.0,Mind Reading,3758.0,Fireburst Cannon,11000.0,0.57
Madara Uchiha,Villain,Steel,23533.0,86.0,177.0,92.0,Black,1.0,Pink,1199.0,DC,Athletic,Cult Leader,1026.0,Saiyan,2235.0,950.0,Teleportation,19178000.0,Grass Tempest,11000.0,0.75
Rogue Neuro-Lancer,Villain,Steel,6710.0,78.0,152.0,58.0,Black,1.0,Green,1741.0,DC,Athletic,Drunken,617.0,Saiyan,1740.0,605.0,Time Manipulation,4060.0,Water Fury,11000.0,0.79
Malevolent Plaguebringer,Villain,Transparent,9010.0,94.0,148.0,77.0,Yellow,1.0,Black,1385.0,DC,Muscular,Warrior,947.0,Saiyan,4081.0,894.0,Mind Reading,6382.0,Fire Fist,10111.0,0.49
Rob Lucci,Villain,Hairy,12892.0,85.0,168.0,126.0,Blood,0.0,Blonde,817.0,DC Comics,Slim,Leader,79.0,Undead,2329.0,88.0,Time Manipulation,8424.0,Water Fury,10010.0,0.7
Corrupt Dataphage,Villain,Steel,7939.0,82.0,172.0,126.0,Black,2.0,Gold,981.0,DC Comics,Normal,Saviors,1291.0,Human,665.0,1174.0,Super Speed,4259.0,Water Fury,11000.0,0.78
Doctor Octopus,Villain,Draconish,5760.0,94.0,167.0,73.0,White,2.0,White,1395.0,DC Comics,Regular,Drunken,714.0,Undead,3771.0,700.0,Mind Reading,3622.0,Grass Surge,10101.0,0.67
Neon-Dark Netherbyte,Villain,Draconish,8427.0,50.0,220.0,22.0,White,1.0,Purple,4564.0,DC,Athletic,Saviors,1204.0,Alien,48.0,1095.0,Time Manipulation,4213.0,Grass Surge,10101.0,0.79
Taskmaster,Villain,Scaly,5377.0,95.0,186.0,111.0,Blue,1.0,Brown,960.0,DC Comics,Muscular,Warrior,890.0,Saiyan,1060.0,840.0,Time Manipulation,3306.0,Water Vortex,10001.0,0.53
Ominous Doombringer,VIllain,Luminescent,4813.0,50.0,179.0,40.0,Glowing,1.0,Brown,2522.0,DC Comics,Regular,Saviors,903.0,Undead,1732.0,852.0,Teleportation,2902.0,Electric Nova,11111.0,0.66
Savage Demonspawn,VillaIn,Transparent,4787.0,94.0,169.0,128.0,Yellow,1.0,White,848.0,DC Comics,Muscular,Leader,671.0,Alien,399.0,658.0,Mind Reading,3718.0,Grass blade,10111.0,0.44
Virus Neuro-Lancer,VIllain,Stone,14592.0,59.0,176.0,54.0,Red,2.0,Fire-like,1866.0,DC Comics,Regular,Drunken,1320.0,Undead,580.0,1200.0,Teleportation,9952.0,Grass Tempest,10010.0,0.81
Corrupt Dataphage,Villain,Steel,7939.0,82.0,172.0,126.0,Black,2.0,Gold,981.0,DC Comics,Normal,Saviors,1291.0,Human,665.0,1174.0,Super Speed,4259.0,Water Fury,11000.0,0.78
The Joker,Villain,Steel,14556.0,67.0,192.0,107.0,Black,0.0,White,947.0,DC Comics,Regular,Arcanist,743.0,Human,169.0,715.0,Time Manipulation,8281.0,Fire Fist,11000.0,0.53
Dark Plaguebringer,Villain,Draconish,8729.0,92.0,188.0,51.0,White,1.0,White,1997.0,DC,Athletic,Scientist,761.0,Kryptonian,3183.0,732.0,Time Manipulation,5494.0,Eternal Firewave,10101.0,0.66
Kraven the Hunter,Villain,Normal,17640.0,93.0,180.0,74.0,Brown,2.0,Brown,1367.0,DC,Muscular,Brewer,894.0,Saiyan,3297.0,844.0,Super Strength,8536.0,Fire Fist,10000.0,0.53
Toguro,VillaIn,Wooden,4560.0,98.0,203.0,115.0,Pink,2.0,Gold,887.0,DC,Muscular,Assassin,1250.0,Saiyan,2335.0,1137.0,Super Speed,2711.0,Eternal Firewave,11010.0,0.64
Tweedledee & Tweedledum,Villain,Draconish,11446.0,564.0,755.0,58.0,White,0.0,Bald,1749.0,DC,Giant,Brewer,538.0,Giant,1638.0,538.0,Mind Reading,7903.0,Fire Fist,10101.0,0.62
Makunouchi Ippo,Villain,Wooden,1631.0,63.0,197.0,76.0,Pink,2.0,White,1355.0,DC,Athletic,Demon Lord,732.0,Human,2200.0,704.0,Super Speed,1054.0,Water Fury,11010.0,0.82
The Joker,Villain,Steel,14556.0,67.0,192.0,107.0,Black,0.0,White,947.0,DC Comics,Regular,Arcanist,743.0,Human,169.0,715.0,Time Manipulation,8281.0,Fire Fist,11000.0,0.53
Dread Lich,VIllain,Draconish,8839.0,119.0,169.0,52.0,White,2.0,Bald,2107.0,Anime,Muscular,Saviors,582.0,Kryptonian,2800.0,582.0,Mind Reading,5599.0,Water Gun,10101.0,0.88
Hacked Neuro-Lancer,VillaIn,Wooden,1879.0,94.0,211.0,117.0,Pink,1.0,Purple,886.0,Anime,Giant,Scientist,1225.0,Alien,1047.0,1114.0,Time Manipulation,1159.0,Water Gun,11010.0,0.76
Hacked AI Tyrant,VillaIn,Metallic,7330.0,653.0,858.0,67.0,Green,0.0,Green,1495.0,Anime,Regular,God,597.0,Giant,4286.0,597.0,Super Strength,5481.0,Grass blade,10011.0,0.48
