Country,Population,IncomeGroup,Region,FatalityRate2010,FatalityRate2016,FatalityRateChange,Population_norm,FatalityRate2010_norm,FatalityRate2016_norm,GDP2010,GDP2016,GDPChange
Liberia,5193416,Low income,African Region,23.2,22.0,-1.1999999999999993,0.0036408653099171792,0.5065502183406114,0.5555555555555556,505.363,709.824,204.46099999999996
Libya,6735277,Upper middle income,Eastern Mediterranean Region,39.7,39.6,-0.10000000000000142,0.004722196511991619,0.866812227074236,1.0,12478.016,7817.63,-4660.3859999999995
Lithuania,2786651,High income,European Region,11.6,7.8,-3.8,0.0019529634234561493,0.2532751091703057,0.19696969696969696,12009.033,15004.172,2995.139000000001
Luxembourg,639321,High income,European Region,6.5,6.3,-0.20000000000000018,0.0004470073546856785,0.1419213973799127,0.1590909090909091,112049.15,107948.199,-4100.951000000001
Madagascar,28915653,Low income,African Region,26.2,29.7,3.5,0.020277640642521584,0.5720524017467249,0.75,492.67,489.439,-3.2309999999999945
Malawi,19889742,Low income,African Region,16.6,17.5,0.8999999999999986,0.013947628279898162,0.36244541484716164,0.44191919191919193,623.414,415.016,-208.39799999999997
Malaysia,33573874,Upper middle income,Western Pacific Region,24.7,23.4,-1.3000000000000007,0.023544523787927298,0.5393013100436682,0.5909090909090908,9046.978,9523.316,476.33800000000156
Maldives,521457,Upper middle income,South-East Asia Region,3.6,1.5,-2.1,0.00036434749053365585,0.07860262008733626,0.03787878787878788,8086.697,12348.712,4262.014999999999
Mali,21904983,Low income,African Region,22.3,19.9,-2.400000000000002,0.015360948269832206,0.4868995633187774,0.5025252525252525,688.89,749.846,60.95600000000002
Malta,526748,High income,European Region,3.8,4.9,1.1000000000000005,0.0003680581514753204,0.08296943231441048,0.12373737373737374,21842.065,25897.872,4055.8070000000007
Mauritania,4614974,Lower middle income,African Region,22.1,18.4,-3.700000000000003,0.0032351949004637047,0.4825327510917031,0.4646464646464646,1715.923,1690.813,-25.1099999999999
Mauritius,1298915,Upper middle income,African Region,12.7,12.7,0.0,0.0009095909292757928,0.277292576419214,0.32070707070707066,8108.095,9967.673,1859.5780000000004
Mexico,126705138,Upper middle income,Region of the Americas,14.7,13.9,-0.7999999999999989,0.08885893387536839,0.32096069868995636,0.351010101010101,9718.129,9063.537,-654.5920000000006
Mongolia,3347782,Lower middle income,Western Pacific Region,18.7,16.3,-2.3999999999999986,0.002346493358224091,0.40829694323144106,0.4116161616161616,2602.373,3575.095,972.7219999999998
Montenegro,627859,Upper middle income,European Region,15.5,10.6,-4.9,0.000438968875057374,0.3384279475982533,0.2676767676767677,6694.166,7031.533,337.3670000000002
Morocco,37076584,Lower middle income,Eastern Mediterranean Region,24.6,19.7,-4.900000000000002,0.02600102902077135,0.5371179039301311,0.49747474747474746,3134.698,3235.218,100.51999999999998
Mozambique,32077072,Low income,African Region,26.0,23.9,-2.1000000000000014,0.022494793166342456,0.5676855895196508,0.6035353535353535,471.904,428.927,-42.976999999999975
Myanmar,53798084,Lower middle income,South-East Asia Region,34.4,28.4,-6.0,0.03772807814873279,0.7510917030567686,0.7171717171717171,727.194,1163.794,436.60000000000014
Namibia,2530151,Upper middle income,African Region,26.5,32.7,6.200000000000003,0.0017730759671082078,0.5786026200873363,0.8257575757575758,5410.977,4611.508,-799.469
Nepal,30034989,Lower middle income,South-East Asia Region,25.0,23.4,-1.6000000000000014,0.02106264846255542,0.5458515283842795,0.5909090909090908,671.998,880.225,208.22699999999998
Netherlands (Kingdom of the),17501696,High income,European Region,4.0,3.8,-0.20000000000000018,0.012272854320514625,0.08733624454148473,0.09595959595959595,,,
New Zealand,5129727,High income,Western Pacific Region,9.3,7.3,-2.000000000000001,0.0035961992194402043,0.203056768558952,0.18434343434343434,33393.529,39414.454,6020.924999999996
Nicaragua,6850540,Lower middle income,Region of the Americas,13.1,12.8,-0.29999999999999893,0.004803032254217868,0.28602620087336245,0.32323232323232326,1499.068,2091.463,592.3950000000002
Niger,25252722,Low income,African Region,23.4,22.4,-1.0,0.017708769919839232,0.5109170305676856,0.5656565656565656,476.064,497.885,21.82099999999997
Nigeria,213401323,Lower middle income,African Region,17.5,16.2,-1.3000000000000007,0.149660322548743,0.3820960698689957,0.40909090909090906,2328.425,2176.001,-152.42399999999998
North Macedonia,2103330,Upper middle income,European Region,8.0,8.1,0.09999999999999964,0.0014737397331671361,0.17467248908296945,0.20454545454545453,,,
Norway,5403021,High income,European Region,4.4,2.7,-1.7000000000000002,0.003787864570298506,0.0960698689956332,0.06818181818181819,87823.805,70629.25,-17194.554999999993
"occupied Palestinian territory, including east Jerusalem",5133392,Lower middle income,Eastern Mediterranean Region,4.3,7.0,2.7,0.003598769541184903,0.09388646288209608,0.17676767676767677,,,
Oman,4520471,High income,Eastern Mediterranean Region,32.1,29.7,-2.400000000000002,0.0031689184704939213,0.700873362445415,0.75,21677.793,17020.387,-4657.406000000003
Pakistan,231402117,Lower middle income,Eastern Mediterranean Region,13.4,12.9,-0.5,0.16228456054056872,0.2925764192139738,0.32575757575757575,1107.551,1566.625,459.07400000000007
Panama,4351267,High income,Region of the Americas,12.1,13.1,1.0,0.0030502530624475386,0.26419213973799127,0.3308080808080808,8332.576,14866.506,6533.93
Paraguay,6703799,Upper middle income,Region of the Americas,21.9,19.4,-2.5,0.004700120498927602,0.4781659388646288,0.48989898989898983,4329.69,5265.061,935.3710000000001
Peru,33715471,Upper middle income,Region of the Americas,13.1,13.0,-0.09999999999999964,0.023643827975671935,0.28602620087336245,0.3282828282828283,5057.071,6212.801,1155.7300000000005
Philippines,113880328,Lower middle income,Western Pacific Region,11.2,13.4,2.200000000000001,0.07986469430793897,0.24454148471615722,0.3383838383838384,2237.157,3107.646,870.489
Poland,38307726,High income,European Region,11.7,9.4,-2.299999999999999,0.02686444813493555,0.2554585152838428,0.23737373737373738,12510.805,12369.893,-140.91200000000026
Portugal,10290103,High income,European Region,11.2,7.4,-3.799999999999999,0.0072152515096506,0.24454148471615722,0.18686868686868688,22539.038,19986.362,-2552.6759999999995
Qatar,2688235,High income,Eastern Mediterranean Region,16.3,8.4,-7.9,0.001883942745468083,0.35589519650655027,0.21212121212121213,69796.138,57965.377,-11830.761000000006
Republic of Korea,51830139,High income,Western Pacific Region,14.3,9.8,-4.5,0.036347927582328694,0.3122270742358079,0.2474747474747475,,,
Republic of Moldova,3061506,Upper middle income,European Region,13.2,10.3,-2.8999999999999986,0.0021457235279961633,0.28820960698689957,0.2601010101010101,,,
Russian Federation,145102755,Upper middle income,European Region,22.6,15.2,-7.400000000000002,0.10176147003518769,0.49344978165938874,0.3838383838383838,11431.148,8723.523,-2707.625
Rwanda,13461888,Low income,African Region,18.9,15.2,-3.6999999999999993,0.009439673871181034,0.4126637554585153,0.3838383838383838,612.395,753.876,141.481
Saint Lucia,179651,Upper middle income,Region of the Americas,9.4,9.1,-0.3000000000000007,0.00012463360396654238,0.20524017467248912,0.22979797979797978,8555.92,10591.881,2035.9609999999993
Samoa,218764,Lower middle income,Western Pacific Region,11.3,10.2,-1.1000000000000014,0.0001520641617838408,0.24672489082969437,0.25757575757575757,3658.418,4338.053,679.6349999999998
Sao Tome and Principe,223107,Lower middle income,African Region,18.7,12.2,-6.5,0.00015510997551841825,0.40829694323144106,0.30808080808080807,,,
Saudi Arabia,35950396,High income,Eastern Mediterranean Region,32.2,38.8,6.599999999999994,0.02521121578611413,0.703056768558952,0.9797979797979797,22028.368,21515.643,-512.7249999999985
Senegal,16876720,Lower middle income,African Region,21.0,19.1,-1.8999999999999986,0.0118345488900331,0.45851528384279483,0.4823232323232324,1272.622,1269.553,-3.06899999999996
Serbia,7296769,Upper middle income,European Region,8.9,8.4,-0.5,0.005115979621698124,0.19432314410480353,0.21212121212121213,5673.62,5765.203,91.58300000000054
Seychelles,106471,High income,African Region,14.1,11.9,-2.1999999999999993,7.331132694688401e-05,0.3078602620087337,0.3005050505050505,10805.099,16721.449,5916.35
Sierra Leone,8420641,Low income,African Region,24.3,20.9,-3.400000000000002,0.005904168609381064,0.5305676855895197,0.5277777777777777,401.835,525.948,124.113
Singapore,5941060,High income,Western Pacific Region,3.9,2.5,-1.4,0.004165199724785798,0.0851528384279476,0.06313131313131314,47236.672,56895.643,9658.970999999998
Slovakia,5447622,High income,European Region,9.0,6.2,-2.8,0.0038191439482344693,0.19650655021834063,0.15656565656565657,,,
Slovenia,2119410,High income,European Region,7.1,6.4,-0.6999999999999993,0.0014850168883253228,0.15502183406113537,0.16161616161616163,23570.184,21681.335,-1888.849000000002
Somalia,17065581,Low income,Eastern Mediterranean Region,29.7,28.1,-1.5999999999999979,0.01196700005920787,0.648471615720524,0.7095959595959597,0.0,558.643,558.643
South Africa,59392255,Upper middle income,African Region,31.2,28.9,-2.3000000000000007,0.041651357648013185,0.6812227074235808,0.7297979797979798,8130.193,5750.785,-2379.4080000000004
South Sudan,10748272,Low income,African Region,30.9,25.8,-5.099999999999998,0.007536572585625181,0.6746724890829695,0.6515151515151515,,,
Spain,47486935,High income,European Region,5.5,4.1,-1.4000000000000004,0.03330197077936493,0.1200873362445415,0.10353535353535352,30566.877,26549.363,-4017.513999999999
Sri Lanka,21773441,Lower middle income,South-East Asia Region,13.6,14.1,0.5,0.015268695810639532,0.29694323144104806,0.356060606060606,2894.26,4150.367,1256.107
Sudan,45657202,Low income,Eastern Mediterranean Region,26.4,22.5,-3.8999999999999986,0.032018750447334175,0.5764192139737991,0.5681818181818181,1637.419,1638.638,1.2189999999998236
Suriname,612985,Upper middle income,Region of the Americas,16.5,13.1,-3.4000000000000004,0.0004285375065360512,0.3602620087336245,0.3308080808080808,8806.017,5761.783,-3044.2339999999995
Sweden,10467097,High income,European Region,3.0,3.0,0.0,0.007339380166371253,0.06550218340611355,0.07575757575757576,52658.794,51590.473,-1068.3210000000036
Switzerland,8691406,High income,European Region,4.3,2.7,-1.5999999999999996,0.0060940603330381805,0.09388646288209608,0.06818181818181819,76822.061,82577.038,5754.976999999999
Syrian Arab Republic,21324367,Low income,Eastern Mediterranean Region,17.4,22.5,5.100000000000001,0.014953753200222394,0.3799126637554585,0.5681818181818181,,,
Tajikistan,9750064,Lower middle income,European Region,21.8,18.6,-3.1999999999999993,0.006836513723924728,0.47598253275109176,0.4696969696969697,738.287,800.645,62.35799999999995
Thailand,71601103,Upper middle income,South-East Asia Region,45.8,35.0,-10.799999999999997,0.050213613443953364,1.0,0.8838383838383839,5076.339,5993.308,916.969
Timor-Leste,1320942,Lower middle income,South-East Asia Region,18.6,15.9,-2.700000000000001,0.0009250388084218984,0.406113537117904,0.4015151515151515,819.147,1358.284,539.1370000000001
Togo,8644829,Low income,African Region,23.4,20.9,-2.5,0.0060613951554385,0.5109170305676856,0.5277777777777777,722.819,792.222,69.40300000000002
Trinidad and Tobago,1525663,High income,Region of the Americas,16.6,9.5,-7.100000000000001,0.0010686128433186118,0.36244541484716164,0.2398989898989899,16957.433,16847.45,-109.98300000000017
Tunisia,12262946,Lower middle income,Eastern Mediterranean Region,21.9,24.4,2.5,0.008598837119957977,0.4781659388646288,0.6161616161616161,4343.057,3890.127,-452.92999999999984
Türkiye,84775404,Upper middle income,European Region,7.2,9.3,2.1000000000000005,0.05945295650848415,0.15720524017467252,0.23484848484848486,,,
Uganda,45853778,Low income,African Region,19.8,15.1,-4.700000000000001,0.032156612266511765,0.4323144104803494,0.38131313131313127,808.713,837.468,28.754999999999995
United Arab Emirates,9365145,High income,Eastern Mediterranean Region,14.2,11.8,-2.3999999999999986,0.006566564017063155,0.31004366812227074,0.297979797979798,36324.592,40483.337,4158.745000000003
United Kingdom of Great Britain and Northern Ireland,67281039,High income,European Region,3.6,2.8,-0.8000000000000003,0.04718388508441997,0.07860262008733626,0.0707070707070707,,,
United Republic of Tanzania,63588334,Lower middle income,African Region,20.3,19.8,-0.5,0.04459413339048888,0.443231441048035,0.5,,,
United States of America,336997624,High income,Region of the Americas,11.5,12.5,1.0,0.2363403389265386,0.2510917030567686,0.31565656565656564,,,
Uruguay,3426260,High income,Region of the Americas,17.1,13.5,-3.6000000000000014,0.0024015312053947487,0.37336244541484725,0.3409090909090909,12943.943,16544.82,3600.8770000000004
Uzbekistan,34081449,Lower middle income,European Region,10.4,9.7,-0.7000000000000011,0.023900494063388532,0.2270742358078603,0.24494949494949492,1777.487,2712.808,935.3209999999999
Viet Nam,97468029,Lower middle income,Western Pacific Region,33.4,26.8,-6.599999999999998,0.06835449267077769,0.7292576419213974,0.6767676767676768,,,
Yemen,32981641,Low income,Eastern Mediterranean Region,25.4,28.4,3.0,0.02312918153476819,0.554585152838428,0.7171717171717171,1267.555,1083.887,-183.66800000000012
Zambia,19473125,Low income,African Region,17.7,14.6,-3.0999999999999996,0.013655448270536327,0.3864628820960699,0.3686868686868687,1469.239,1250.324,-218.91499999999996
Zimbabwe,15993524,Lower middle income,African Region,27.0,23.0,-4.0,0.011215149740338453,0.5895196506550219,0.5808080808080808,975.851,1444.716,468.8649999999999
